Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000256016,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,3906,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,2,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-1.838e-01,-36,-24,-32,-22,-2.72,-2.56,-2,-1.2
-1.835e-01,-24,-30,-22,-26,-2.64,-2.8,-2,-2.4
-1.833e-01,-18,-8,-16,-6,-2.48,-2.24,-2,-1.2
-1.830e-01,-10,-14,-6,-10,-2.32,-2.48,-1.6,-2
-1.828e-01,-2,8,4.47035e-08,8,-2.16,-1.92,-1.6,-1.2
-1.825e-01,4,2,6,4,-2,-2.08,-1.6,-2
-1.822e-01,10,24,12,20,-1.76,-1.52,-1.2,-0.4
-1.820e-01,20,16,20,16,-1.6,-1.68,-1.2,-1.6
-1.817e-01,28,40,28,34,-1.36,-1.12,-0.8,-0.4
-1.815e-01,36,32,34,32,-1.12,-1.28,-0.8,-1.2
-1.812e-01,46,54,40,50,-0.8,-0.56,-0.4,1.78814e-08
-1.810e-01,52,48,48,44,-0.64,-0.72,-0.4,-0.8
-1.807e-01,60,70,54,62,-0.32,-0.08,-0.4,0.4
-1.804e-01,68,62,62,58,-0.08,-0.24,1.78814e-08,-0.4
-1.802e-01,74,82,68,74,0.16,0.48,1.78814e-08,0.8
-1.799e-01,78,76,72,70,0.4,0.32,1.78814e-08,1.78814e-08
-1.797e-01,84,92,76,82,0.72,0.88,0.4,1.2
-1.794e-01,88,84,80,78,0.88,0.72,0.4,1.78814e-08
-1.792e-01,92,98,84,88,1.12,1.36,0.4,1.6
-1.789e-01,94,92,88,84,1.36,1.2,0.8,0.4
-1.787e-01,100,106,90,94,1.6,1.84,1.2,1.6
-1.784e-01,102,98,92,90,1.84,1.6,1.2,0.8
-1.781e-01,104,110,94,98,2,2.24,1.2,2
-1.779e-01,106,100,96,92,2.24,2.08,1.6,1.2
-1.776e-01,106,110,94,98,2.32,2.56,1.6,2
-1.774e-01,104,96,94,86,2.56,2.32,2,1.2
-1.771e-01,102,106,92,96,2.64,2.8,1.6,2.4
-1.769e-01,100,90,88,80,2.72,2.56,2,1.2
-1.766e-01,96,102,86,92,2.88,2.96,2,2.4
-1.764e-01,92,84,84,74,2.96,2.8,1.6,1.6
-1.761e-01,90,96,78,86,3.04,3.12,2,2.4
-1.758e-01,86,74,76,66,3.12,2.88,1.6,1.6
-1.756e-01,82,90,72,78,3.12,3.2,2,2.8
-1.753e-01,78,64,68,56,3.12,2.96,2,1.6
-1.751e-01,72,82,64,70,3.2,3.28,2,2.8
-1.748e-01,66,50,56,42,3.12,2.88,2,1.6
-1.746e-01,60,70,52,60,3.2,3.28,2,2.8
-1.743e-01,52,32,44,26,3.04,2.72,2,1.2
-1.740e-01,42,56,34,46,2.96,3.12,1.6,2.4
-1.738e-01,32,14,28,10,2.8,2.4,2,1.2
-1.735e-01,24,38,18,30,2.72,2.88,1.6,2.4
-1.733e-01,16,-2,12,-4,2.56,2.08,1.6,0.8
-1.730e-01,8,20,4,14,2.4,2.64,1.2,2
-1.728e-01,4.47035e-08,-16,-4,-18,2.24,1.76,1.6,0.8
-1.725e-01,-8,6,-10,4.47035e-08,2.08,2.32,1.2,2
-1.723e-01,-16,-32,-16,-32,1.84,1.36,1.2,0.4
-1.720e-01,-22,-10,-22,-14,1.68,2,0.8,1.6
-1.717e-01,-30,-48,-30,-46,1.44,0.88,0.8,1.78814e-08
-1.715e-01,-38,-26,-38,-28,1.2,1.52,0.8,1.2
-1.712e-01,-46,-62,-44,-60,0.88,0.32,0.4,-0.4
-1.710e-01,-54,-42,-52,-42,0.64,1.04,0.4,0.8
-1.707e-01,-60,-76,-60,-72,0.4,-0.16,1.78814e-08,-0.8
-1.705e-01,-68,-56,-66,-56,0.08,0.48,-0.4,0.4
-1.702e-01,-74,-88,-72,-82,-0.16,-0.64,-0.4,-1.2
-1.699e-01,-82,-70,-78,-68,-0.4,3.57628e-09,-0.4,0.4
-1.697e-01,-84,-96,-80,-90,-0.64,-1.12,-0.4,-1.2
-1.694e-01,-90,-80,-84,-78,-0.8,-0.56,-0.8,1.78814e-08
-1.692e-01,-94,-104,-90,-96,-1.04,-1.6,-0.8,-1.6
-1.689e-01,-96,-90,-92,-86,-1.28,-0.96,-0.8,-0.4
-1.687e-01,-100,-110,-94,-100,-1.52,-2,-1.2,-2
-1.684e-01,-104,-96,-98,-92,-1.76,-1.44,-1.2,-0.8
-1.682e-01,-106,-110,-100,-102,-1.92,-2.4,-1.6,-2
-1.679e-01,-108,-102,-102,-96,-2.16,-1.84,-1.6,-1.2
-1.676e-01,-106,-110,-100,-102,-2.32,-2.72,-1.6,-2.4
-1.674e-01,-106,-100,-98,-94,-2.48,-2.24,-2,-1.2
-1.671e-01,-104,-106,-96,-98,-2.56,-2.88,-2,-2.4
-1.669e-01,-100,-94,-94,-88,-2.72,-2.48,-1.6,-1.2
-1.666e-01,-98,-100,-92,-94,-2.8,-3.04,-2,-2.4
-1.664e-01,-94,-88,-88,-82,-2.88,-2.72,-2.4,-1.6
-1.661e-01,-92,-94,-84,-86,-2.96,-3.2,-2,-2.8
-1.659e-01,-86,-80,-80,-74,-3.04,-2.88,-2,-1.6
-1.656e-01,-84,-86,-78,-80,-3.04,-3.2,-2.4,-2.8
