Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.02,,,,,,,
Sample Interval,3.84025e-05,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5208,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,10,,20,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.639e-02,62,58,53,51,3.6,2.8,2,1.2
-9.635e-02,62,66,53,57,3.2,3.6,2,3.6
-9.631e-02,60,56,53,49,3.2,2.8,2,1.2
-9.627e-02,60,64,51,55,3.2,3.6,2.8,2.8
-9.624e-02,56,52,49,45,3.2,2.8,2,1.2
-9.620e-02,56,62,51,53,3.2,3.6,2.8,2.8
-9.616e-02,56,50,49,43,3.6,2.8,2,1.2
-9.612e-02,54,58,47,51,3.2,3.6,2,2.8
-9.608e-02,52,48,47,41,3.2,2.8,2,1.2
-9.604e-02,52,56,45,49,3.2,3.6,2,2.8
-9.601e-02,50,44,43,39,3.6,2.4,2,1.2
-9.597e-02,50,54,43,45,3.2,3.6,2,2.8
-9.593e-02,48,42,41,37,3.2,2.4,2,1.2
-9.589e-02,46,52,41,43,3.2,3.6,2,2.8
-9.585e-02,46,40,39,35,3.2,2.4,2,1.2
-9.581e-02,44,48,37,41,2.8,3.6,2,2.8
-9.578e-02,42,38,35,31,3.2,2.4,2,1.2
-9.574e-02,42,46,35,39,3.2,3.6,2,2.8
-9.570e-02,38,34,35,29,3.2,2.4,2,1.2
-9.566e-02,38,44,33,35,3.2,3.6,2,3.6
-9.562e-02,38,32,33,27,3.2,2.4,2,1.2
-9.558e-02,34,40,31,33,3.2,3.6,2,2.8
-9.555e-02,34,28,31,25,2.8,2.4,1.2,0.4
-9.551e-02,34,38,27,31,2.8,3.6,2,2.8
-9.547e-02,32,26,27,23,2.8,2.4,2,1.2
-9.543e-02,32,36,25,29,2.8,3.2,1.2,2.8
-9.539e-02,28,24,23,19,2.8,2.4,2,1.2
-9.535e-02,26,34,23,27,2.8,3.2,2,2.8
-9.531e-02,28,20,23,17,2.8,2.4,2,1.2
-9.528e-02,26,30,21,23,2.8,3.2,1.2,2.8
-9.524e-02,22,18,19,15,2.8,2.4,1.2,1.2
-9.520e-02,22,28,17,21,3.2,3.2,2,2.8
-9.516e-02,22,16,17,13,2.8,2,2,0.4
-9.512e-02,20,26,15,19,3.2,3.2,1.2,2.8
-9.508e-02,20,14,15,11,2.8,2,2,0.4
-9.505e-02,18,24,15,17,2.8,3.2,1.2,2.8
-9.501e-02,18,12,13,9,2.8,2,2,0.4
-9.497e-02,16,22,11,15,2.8,3.2,2,2.8
-9.493e-02,16,10,9,7,2.4,2,2,0.4
-9.489e-02,14,18,9,13,2.4,3.2,2,2.8
-9.485e-02,12,8,7,5,2.4,2,2,0.4
-9.482e-02,10,16,7,11,2.4,3.2,2,2.8
-9.478e-02,12,4,5,3,2.8,2,2,0.4
-9.474e-02,8,14,5,9,2.8,2.8,1.2,2.8
-9.470e-02,10,2,5,-1,2.4,2,1.2,0.4
-9.466e-02,6,12,3,7,2.4,2.8,2,2.8
-9.462e-02,4,-8.9407e-08,1,-3,2.4,2,1.2,0.4
-9.459e-02,4,10,1,5,2.4,2.8,2,2.8
-9.455e-02,4,-2,1,-5,2.4,2,2,0.4
-9.451e-02,2,6,-1,3,2.4,2.8,2,2.8
-9.447e-02,-8.9407e-08,-6,-3,-7,2.4,1.6,1.2,0.4
-9.443e-02,-2,4,-3,-1,2.4,2.8,1.2,2.8
-9.439e-02,-4,-8,-5,-9,2,1.6,2,0.4
-9.435e-02,-4,2,-5,-3,2,2.8,1.2,2.8
-9.432e-02,-4,-10,-7,-11,2.4,1.6,2,0.4
-9.428e-02,-4,-8.9407e-08,-7,-5,2,2.8,1.2,2.8
-9.424e-02,-6,-12,-9,-13,2,1.6,2,0.4
-9.420e-02,-8,-4,-9,-7,2,2.8,1.2,2
-9.416e-02,-10,-14,-11,-15,2,1.6,1.2,0.4
-9.412e-02,-8,-6,-11,-9,2,2.4,1.2,2.8
-9.409e-02,-10,-16,-13,-17,2.4,1.6,1.2,0.4
-9.405e-02,-10,-8,-13,-11,2,2.4,1.2,2
-9.401e-02,-14,-18,-15,-19,2,1.6,1.2,0.4
-9.397e-02,-14,-8,-15,-13,2,2.4,2,2
-9.393e-02,-14,-20,-17,-21,2,1.6,1.2,0.4
-9.389e-02,-16,-12,-17,-15,2,2.4,1.2,2
-9.386e-02,-18,-22,-19,-23,2,1.2,1.2,0.4
-9.382e-02,-18,-14,-19,-17,2,2.4,1.2,2
-9.378e-02,-20,-26,-21,-25,2,1.2,1.2,0.4
-9.374e-02,-22,-16,-23,-17,2,2.4,1.2,2
-9.370e-02,-22,-28,-21,-27,2,1.2,1.2,0.4
-9.366e-02,-24,-18,-25,-21,2,2,1.2,2
-9.363e-02,-24,-30,-25,-29,1.6,1.2,0.4,0.4
-9.359e-02,-26,-20,-27,-23,1.6,2,0.4,2
-9.355e-02,-28,-32,-27,-31,1.6,1.2,1.2,0.4
-9.351e-02,-30,-24,-29,-25,2,2,1.2,2
-9.347e-02,-30,-34,-29,-33,1.6,0.8,1.2,-0.4
-9.343e-02,-30,-26,-31,-27,1.2,2,1.2,2
-9.339e-02,-32,-38,-33,-37,1.6,0.8,1.2,-0.4
-9.336e-02,-32,-28,-33,-29,1.6,2,0.4,2
-9.332e-02,-36,-40,-35,-39,1.6,0.8,0.4,-0.4
-9.328e-02,-36,-30,-35,-31,1.2,2,1.2,2
