Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000192012,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,10,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-2.040e-01,12,8,8,8,-0.8,-1.2,-0.4,-0.8
-2.038e-01,18,26,14,22,-0.8,1.78814e-08,-0.4,1.78814e-08
-2.036e-01,24,20,20,18,-0.8,-1.2,-0.4,-0.8
-2.034e-01,30,38,26,34,-0.4,1.78814e-08,-0.4,0.4
-2.032e-01,36,32,32,30,-0.4,-1.2,-0.4,-0.8
-2.030e-01,42,50,38,46,-0.4,1.78814e-08,-0.4,0.4
-2.028e-01,48,44,44,42,-0.4,-0.8,-0.4,-0.8
-2.027e-01,54,62,50,56,-0.4,1.78814e-08,1.78814e-08,0.4
-2.025e-01,60,56,56,52,-0.4,-0.8,1.78814e-08,-0.4
-2.023e-01,64,72,60,66,-0.4,0.4,1.78814e-08,0.4
-2.021e-01,68,66,64,62,-0.4,-0.8,1.78814e-08,-0.4
-2.019e-01,76,82,70,76,1.78814e-08,0.4,1.78814e-08,0.4
-2.017e-01,78,76,74,72,1.78814e-08,-0.4,1.78814e-08,-0.4
-2.015e-01,82,90,76,84,1.78814e-08,0.4,1.78814e-08,0.8
-2.013e-01,86,82,82,78,0.4,-0.4,1.78814e-08,-0.4
-2.011e-01,90,94,84,88,0.4,0.8,0.4,0.8
-2.009e-01,92,88,86,84,0.4,-0.4,1.78814e-08,-0.4
-2.007e-01,96,100,90,94,0.4,0.8,1.78814e-08,0.8
-2.005e-01,96,94,92,90,0.4,1.78814e-08,0.4,-0.4
-2.004e-01,100,106,94,98,0.4,0.8,0.4,0.8
-2.002e-01,102,98,96,94,0.4,1.78814e-08,0.4,1.78814e-08
-2.000e-01,104,108,100,102,0.8,1.2,0.4,0.8
-1.998e-01,106,102,100,98,0.8,1.78814e-08,0.4,1.78814e-08
-1.996e-01,106,110,100,104,0.4,1.2,0.4,0.8
-1.994e-01,106,100,102,96,0.4,0.4,0.4,1.78814e-08
-1.992e-01,104,110,100,104,0.8,1.2,0.4,0.8
-1.990e-01,104,96,98,92,0.8,0.4,0.4,1.78814e-08
-1.988e-01,102,106,98,100,1.2,1.2,0.4,0.8
-1.986e-01,98,92,94,88,1.2,0.4,0.4,1.78814e-08
-1.984e-01,96,102,92,96,0.8,1.6,0.4,0.8
-1.982e-01,94,86,90,84,0.8,0.4,0.4,1.78814e-08
-1.980e-01,92,98,88,92,0.8,1.6,0.4,0.8
-1.979e-01,90,82,84,78,1.2,0.4,0.4,1.78814e-08
-1.977e-01,88,94,82,88,1.2,1.6,0.4,1.2
