Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000192012,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,20,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-1.884e-01,-4,2,-87,-85,-1.6,-1.6,-3,-2.6
-1.883e-01,-2,-6,-87,-89,-1.6,-3.2,-3,-3.8
-1.881e-01,-2,2,-85,-81,-2.4,-1.6,-3,-2.6
-1.879e-01,-4,-6,-83,-85,-2.4,-3.2,-3,-3.8
-1.877e-01,-4,2,-79,-75,-2.4,-0.8,-3.4,-2.6
-1.875e-01,-4,-6,-77,-79,-2.4,-3.2,-3,-3.8
-1.873e-01,-4,2,-75,-71,-2.4,-1.6,-3.4,-2.6
-1.871e-01,-4,-6,-75,-75,-2.4,-3.2,-3.4,-3.8
-1.869e-01,-4,2,-71,-65,-1.6,-0.8,-3,-2.6
-1.867e-01,-4,-6,-67,-69,-2.4,-3.2,-3,-3.4
-1.865e-01,-2,2,-63,-57,-2.4,-0.8,-3,-2.6
-1.863e-01,-2,-6,-61,-61,-2.4,-3.2,-3,-3.4
-1.861e-01,-2,2,-55,-49,-1.6,-0.8,-2.6,-2.2
-1.860e-01,-4,-6,-51,-53,-0.8,-2.4,-2.6,-3.4
-1.858e-01,-2,2,-45,-37,-0.8,-7.15256e-08,-2.6,-1.8
-1.856e-01,-2,-6,-39,-41,-1.6,-2.4,-2.6,-3
-1.854e-01,-1.3411e-07,2,-33,-25,-0.8,-7.15256e-08,-2.2,-1.4
-1.852e-01,-4,-6,-27,-29,-0.8,-2.4,-1.8,-2.6
-1.850e-01,-4,2,-23,-15,-0.8,-7.15256e-08,-1.8,-1.4
-1.848e-01,-4,-6,-17,-19,-0.8,-2.4,-1.4,-2.2
-1.846e-01,-2,2,-13,-5,-0.8,0.8,-1.4,-1
-1.844e-01,-4,-6,-7,-9,-0.8,-1.6,-1.4,-1.8
-1.842e-01,-2,2,-3,5,-0.8,0.8,-1.4,-0.6
-1.840e-01,-4,-6,3,1,-0.8,-1.6,-1,-1.8
-1.838e-01,-4,2,7,13,0.8,0.8,-0.6,-0.2
-1.836e-01,-2,-6,11,9,-7.15256e-08,-0.8,-1,-1.4
-1.835e-01,-2,2,15,23,-7.15256e-08,1.6,-0.6,0.2
-1.833e-01,-4,-6,23,19,-7.15256e-08,-0.8,-0.2,-1
