Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.04,,,,,,,
Sample Interval,7.68049e-05,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,20,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-8.0316e-02,-4,-6,77,73,3.2,1.6,2.2,1.4
-8.0240e-02,-2,2,77,79,3.2,4,2.2,2.6
-8.0163e-02,-4,-6,79,75,3.2,1.6,2.2,1.8
-8.0086e-02,-4,2,79,81,3.2,4,2.2,2.6
-8.0009e-02,-4,-6,79,77,3.2,1.6,2.2,1.8
-7.9932e-02,-2,2,81,83,3.2,4,2.2,3
-7.9856e-02,-4,-6,81,79,3.2,2.4,2.2,1.8
-7.9779e-02,-2,2,81,85,3.2,4,2.6,3
-7.9702e-02,-2,-6,83,81,3.2,2.4,2.6,2.2
-7.9625e-02,-1.3411e-07,2,83,87,3.2,4,2.6,3
-7.9548e-02,-1.3411e-07,-6,85,83,3.2,2.4,2.6,2.2
-7.9472e-02,-2,2,85,89,3.2,4,2.6,3.4
-7.9395e-02,-2,-6,85,83,3.2,2.4,2.6,2.2
-7.9318e-02,-4,2,87,89,3.2,4.8,3,3.4
-7.9241e-02,-2,-6,87,85,3.2,2.4,3,2.6
-7.9164e-02,-2,2,89,91,4,4.8,3,3.4
-7.9088e-02,-4,-6,87,85,3.2,2.4,3,2.6
-7.9011e-02,-2,2,89,91,4,4.8,2.6,3.4
-7.8934e-02,-2,-6,89,87,4,2.4,3,2.6
-7.8857e-02,-2,2,89,91,4,4.8,3,3.4
-7.8780e-02,-2,-6,89,87,3.2,2.4,3,2.6
-7.8704e-02,-2,2,89,91,4,4.8,3,3.8
-7.8627e-02,-2,-6,89,85,4,2.4,3,2.6
-7.8550e-02,-4,2,89,91,4,4.8,3,3.8
-7.8473e-02,-2,-6,89,85,4,2.4,3,2.6
-7.8396e-02,-4,2,89,91,4,4.8,3,3.8
-7.8320e-02,-4,-6,87,85,4,2.4,3,2.6
-7.8243e-02,-2,2,87,89,4,4.8,3,3.8
-7.8166e-02,-4,-6,87,83,4,2.4,3.4,2.6
-7.8089e-02,-2,2,85,89,4,4.8,3.4,3.8
-7.8012e-02,-2,-6,85,81,4,2.4,3.4,2.6
-7.7935e-02,-2,2,83,87,4,4.8,3.4,3.8
-7.7859e-02,-4,-6,85,81,4,3.2,3.4,3
-7.7782e-02,-2,2,85,87,4,4.8,3.4,3.8
-7.7705e-02,-4,-6,83,79,4,3.2,3.4,2.6
-7.7628e-02,-2,2,81,85,4,4.8,3.4,3.8
-7.7551e-02,-2,-6,81,77,4,2.4,3.4,3
-7.7475e-02,-2,2,81,83,4,4.8,3.4,3.8
-7.7398e-02,-2,-6,79,75,4,2.4,3.4,3
-7.7321e-02,-2,2,79,81,4,4.8,3.4,3.8
-7.7244e-02,-2,-6,77,73,4,2.4,3.4,3
-7.7167e-02,-4,2,77,79,4,4.8,3.4,3.8
-7.7091e-02,-4,-6,75,71,4,2.4,3,3
-7.7014e-02,-2,2,73,77,4,4.8,3.4,3.8
-7.6937e-02,-2,-6,73,69,4,2.4,3.4,3
-7.6860e-02,-2,2,73,75,4,4.8,3.4,3.8
-7.6783e-02,-2,-6,71,67,4,2.4,3.4,3
-7.6707e-02,-4,2,71,73,4,4.8,3,3.8
-7.6630e-02,-2,-6,69,65,4,2.4,3.4,2.6
-7.6553e-02,-2,2,67,71,3.2,4.8,3.4,3.8
-7.6476e-02,-2,-6,67,63,3.2,2.4,3.4,2.6
-7.6399e-02,-4,2,67,69,4,4.8,3.4,3.8
-7.6323e-02,-2,-6,65,61,4,2.4,3,2.6
-7.6246e-02,-1.3411e-07,2,65,67,4,4.8,3,3.8
-7.6169e-02,-2,-6,63,57,4,2.4,3,2.6
-7.6092e-02,-4,2,61,65,4,4.8,3,3.8
-7.6015e-02,-2,-6,61,55,4,2.4,3,2.6
-7.5939e-02,-2,2,59,61,4,4.8,3,3.8
-7.5862e-02,-2,-6,57,51,4,2.4,3,2.6
-7.5785e-02,-4,2,55,59,3.2,4.8,3,3.4
-7.5708e-02,-2,-6,55,47,4,2.4,3,2.6
-7.5631e-02,-2,2,51,55,3.2,4.8,3,3.4
-7.5555e-02,-4,-6,49,43,3.2,2.4,3,2.2
-7.5478e-02,-2,2,49,51,3.2,4,3,3.4
-7.5401e-02,-2,-6,45,39,3.2,2.4,3,2.2
-7.5324e-02,-2,2,45,47,3.2,4,3,3.4
-7.5247e-02,-2,-6,43,35,3.2,2.4,3,2.2
-7.5171e-02,-4,2,41,43,3.2,4,2.6,3.4
-7.5094e-02,-2,-6,37,31,3.2,1.6,2.6,2.2
-7.5017e-02,-4,2,35,39,3.2,4,2.6,3
-7.4940e-02,-2,-6,33,27,3.2,1.6,2.6,1.8
-7.4863e-02,-2,2,31,35,2.4,4,2.6,3
-7.4786e-02,-4,-6,27,21,2.4,1.6,2.2,1.8
-7.4710e-02,-4,2,25,31,3.2,4,2.6,3
-7.4633e-02,-2,-8,23,17,3.2,1.6,2.2,1.8
-7.4556e-02,-2,2,21,25,2.4,4,2.2,2.6
-7.4479e-02,-4,-6,19,13,2.4,1.6,2.2,1.4
-7.4402e-02,-4,2,17,21,2.4,4,1.8,2.6
-7.4326e-02,-2,-6,15,9,2.4,1.6,2.2,1.4
-7.4249e-02,-2,2,13,17,2.4,4,1.8,2.2
-7.4172e-02,-4,-6,11,5,2.4,0.8,1.8,1.4
-7.4095e-02,-2,2,9,13,1.6,3.2,1.8,2.2
-7.4018e-02,-2,-6,7,1,2.4,0.8,1.8,1
-7.3942e-02,-2,2,3,9,2.4,3.2,1.8,2.2
-7.3865e-02,-2,-6,3,-3,2.4,0.8,1.8,1
-7.3788e-02,-4,2,1,5,1.6,3.2,1.4,1.8
-7.3711e-02,-2,-6,-3,-7,2.4,0.8,1.4,1
-7.3634e-02,-2,2,-5,1,1.6,3.2,1.4,1.8
-7.3558e-02,-4,-6,-5,-11,1.6,0.8,1.4,0.6
-7.3481e-02,-4,2,-7,-3,1.6,2.4,1,1.8
-7.3404e-02,-4,-6,-9,-13,1.6,0.8,1.4,0.6
-7.3327e-02,-4,2,-11,-7,1.6,2.4,1.4,1.8
-7.3250e-02,-4,-6,-13,-17,1.6,-7.15256e-08,1,0.6
-7.3174e-02,-2,2,-13,-11,1.6,2.4,1,1.4
-7.3097e-02,-2,-6,-15,-21,1.6,-7.15256e-08,0.6,0.2
-7.3020e-02,-4,2,-17,-15,1.6,2.4,1,1.4
-7.2943e-02,-2,-6,-19,-25,0.8,-7.15256e-08,0.6,0.2
-7.2866e-02,-4,2,-23,-17,0.8,2.4,0.6,1.4
-7.2790e-02,-2,-6,-25,-29,1.6,-7.15256e-08,0.6,0.2
-7.2713e-02,-2,2,-27,-21,0.8,2.4,0.6,1
-7.2636e-02,-2,-6,-27,-33,0.8,-7.15256e-08,0.6,-0.2
-7.2559e-02,-2,2,-29,-25,0.8,1.6,0.2,1
-7.2482e-02,-1.3411e-07,-6,-31,-39,0.8,-7.15256e-08,0.2,-0.2
-7.2406e-02,-2,2,-35,-29,0.8,1.6,0.2,0.6
-7.2329e-02,-2,-6,-35,-43,-7.15256e-08,-0.8,0.2,-0.6
-7.2252e-02,-2,2,-39,-33,0.8,1.6,-0.2,0.6
-7.2175e-02,-2,-6,-41,-47,0.8,-0.8,-0.2,-0.6
-7.2098e-02,-4,2,-43,-39,0.8,1.6,-0.2,0.6
-7.2022e-02,-4,-6,-43,-51,-7.15256e-08,-0.8,-0.2,-1
-7.1945e-02,-2,2,-45,-41,0.8,1.6,-0.2,0.2
-7.1868e-02,-2,-6,-49,-55,-7.15256e-08,-0.8,-0.6,-1
-7.1791e-02,-2,2,-49,-47,-7.15256e-08,0.8,-0.6,0.2
-7.1714e-02,-2,-8,-53,-57,-7.15256e-08,-0.8,-0.6,-1
-7.1637e-02,-4,2,-55,-49,-7.15256e-08,0.8,-0.6,-0.2
-7.1561e-02,-4,-6,-57,-61,-7.15256e-08,-1.6,-0.6,-1.4
-7.1484e-02,-2,2,-57,-53,-7.15256e-08,0.8,-1,-0.2
-7.1407e-02,-2,-6,-59,-65,-7.15256e-08,-1.6,-0.6,-1.4
-7.1330e-02,-4,2,-61,-57,-0.8,0.8,-1,-0.2
-7.1253e-02,-1.3411e-07,-6,-63,-69,-0.8,-1.6,-1,-1.8
-7.1177e-02,-4,2,-65,-61,-0.8,0.8,-1,-0.6
-7.1100e-02,-4,-6,-67,-71,-0.8,-1.6,-1,-1.8
-7.1023e-02,-2,2,-67,-65,-0.8,-7.15256e-08,-1,-0.6
-7.0946e-02,-4,-6,-69,-73,-0.8,-1.6,-1.4,-2.2
-7.0869e-02,-2,2,-73,-67,-0.8,-7.15256e-08,-1.4,-1
-7.0793e-02,-2,-6,-73,-77,-0.8,-2.4,-1.4,-2.2
-7.0716e-02,-2,2,-73,-69,-0.8,-7.15256e-08,-1.4,-1
-7.0639e-02,-2,-6,-75,-79,-0.8,-2.4,-1.8,-2.2
-7.0562e-02,-4,2,-77,-73,-0.8,-7.15256e-08,-1.8,-1.4
-7.0485e-02,-2,-6,-77,-81,-0.8,-2.4,-1.8,-2.6
-7.0409e-02,-2,2,-79,-75,-0.8,-7.15256e-08,-1.8,-1
-7.0332e-02,-4,-6,-81,-83,-0.8,-2.4,-1.8,-2.6
-7.0255e-02,-4,2,-79,-77,-1.6,-7.15256e-08,-2.2,-1.4
-7.0178e-02,-4,-6,-81,-85,-1.6,-2.4,-2.2,-2.6
-7.0101e-02,-2,2,-83,-79,-1.6,-7.15256e-08,-2.2,-1.4
-7.0025e-02,-4,-6,-83,-87,-1.6,-2.4,-1.8,-3
-6.9948e-02,-4,2,-85,-81,-1.6,-0.8,-2.2,-1.8
-6.9871e-02,-4,-8,-85,-89,-1.6,-3.2,-2.6,-3
-6.9794e-02,-4,2,-85,-83,-1.6,-0.8,-2.2,-1.8
-6.9717e-02,-4,-6,-85,-89,-1.6,-2.4,-2.2,-3
-6.9641e-02,-2,2,-87,-83,-1.6,-0.8,-2.6,-1.8
-6.9564e-02,-4,-6,-87,-91,-1.6,-3.2,-2.6,-3
-6.9487e-02,-4,2,-89,-85,-2.4,-0.8,-2.6,-2.2
-6.9410e-02,-6,-6,-89,-93,-1.6,-3.2,-2.6,-3
-6.9333e-02,-4,2,-91,-87,-1.6,-0.8,-2.6,-2.2
-6.9257e-02,-4,-6,-89,-93,-1.6,-3.2,-2.6,-3.4
-6.9180e-02,-2,2,-91,-87,-2.4,-0.8,-2.6,-2.2
-6.9103e-02,-2,-6,-91,-93,-1.6,-3.2,-2.6,-3.4
-6.9026e-02,-1.3411e-07,2,-91,-89,-2.4,-0.8,-2.6,-2.2
-6.8949e-02,-2,-6,-91,-95,-2.4,-3.2,-3,-3.4
-6.8873e-02,-2,2,-93,-89,-1.6,-0.8,-3,-2.6
-6.8796e-02,-4,-6,-93,-95,-2.4,-3.2,-3,-3.4
-6.8719e-02,-2,2,-93,-89,-2.4,-0.8,-3,-2.6
-6.8642e-02,-2,-6,-91,-95,-2.4,-3.2,-3,-3.4
-6.8565e-02,-2,2,-91,-89,-1.6,-1.6,-3,-2.6
-6.8488e-02,-4,-6,-93,-93,-2.4,-3.2,-3,-3.8
-6.8412e-02,-4,2,-91,-87,-1.6,-1.6,-3.4,-2.6
-6.8335e-02,-4,-6,-91,-93,-2.4,-3.2,-3,-3.8
-6.8258e-02,-4,2,-91,-87,-2.4,-1.6,-3,-2.6
-6.8181e-02,-2,-6,-91,-91,-2.4,-3.2,-3.4,-3.8
-6.8104e-02,-2,2,-89,-85,-2.4,-1.6,-3,-2.6
-6.8028e-02,-2,-6,-89,-91,-2.4,-3.2,-3,-3.8
-6.7951e-02,-2,2,-87,-85,-2.4,-1.6,-3,-2.6
-6.7874e-02,-2,-6,-87,-89,-2.4,-3.2,-3.4,-3.8
-6.7797e-02,-2,2,-87,-83,-2.4,-1.6,-3.4,-2.6
-6.7720e-02,-2,-8,-87,-89,-2.4,-3.2,-3.4,-3.8
-6.7644e-02,-2,2,-85,-83,-1.6,-1.6,-3.4,-2.6
-6.7567e-02,-4,-6,-85,-87,-2.4,-3.2,-3.4,-3.8
-6.7490e-02,-4,2,-85,-81,-2.4,-1.6,-3.4,-2.6
-6.7413e-02,-2,-6,-83,-85,-2.4,-3.2,-3.4,-3.8
-6.7336e-02,-4,2,-81,-79,-2.4,-1.6,-3.4,-2.6
