Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.04,,,,,,,
Sample Interval,7.68049e-05,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5208,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,20,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-2.0000e-01,-4,-6,71,69,2.4,1.6,1.8,1.4
-1.9992e-01,-4,2,71,75,2.4,4,1.8,2.2
-1.9985e-01,-4,-6,75,71,3.2,1.6,1.8,1.4
-1.9977e-01,-2,2,75,79,3.2,4,1.8,2.2
-1.9969e-01,-2,-6,77,75,3.2,1.6,2.2,1.4
-1.9962e-01,-4,2,77,81,3.2,4,2.2,2.6
-1.9954e-01,-2,-6,81,77,3.2,1.6,2.2,1.8
-1.9946e-01,-2,2,81,83,3.2,4,2.2,2.6
-1.9939e-01,-2,-6,81,79,3.2,2.4,2.2,1.8
-1.9931e-01,-2,2,83,85,3.2,4,2.6,3
-1.9923e-01,-2,-6,85,81,3.2,2.4,2.6,1.8
-1.9916e-01,-4,2,85,87,3.2,4,2.2,3
-1.9908e-01,-2,-6,85,83,3.2,2.4,2.6,2.2
-1.9900e-01,-2,2,85,89,3.2,4,2.6,3
-1.9892e-01,-4,-6,85,85,3.2,2.4,2.6,2.2
-1.9885e-01,-4,-1.3411e-07,87,91,4,4,2.6,3
-1.9877e-01,-4,-6,89,87,4,2.4,2.6,2.2
-1.9869e-01,-2,2,89,93,3.2,4.8,3,3.4
-1.9862e-01,-1.3411e-07,-6,91,87,3.2,2.4,3,2.6
-1.9854e-01,-4,2,91,93,4,4.8,3,3.4
-1.9846e-01,-2,-6,91,89,4,2.4,2.6,2.6
-1.9839e-01,-2,2,93,95,3.2,4.8,3,3.4
-1.9831e-01,-2,-6,93,91,4,2.4,3,2.6
-1.9823e-01,-4,2,93,95,4,4.8,3,3.4
-1.9816e-01,-2,-6,93,91,4,3.2,3,2.6
-1.9808e-01,-1.3411e-07,2,93,97,4,4.8,3.4,3.8
-1.9800e-01,-2,-6,95,93,4,2.4,3,2.6
-1.9793e-01,-4,2,95,97,4,4.8,3,3.8
-1.9785e-01,-2,-6,95,93,4,2.4,3,2.6
-1.9777e-01,-4,2,95,97,4,4.8,3.4,3.8
-1.9770e-01,-2,-6,95,93,4,2.4,3.4,3
-1.9762e-01,-2,2,95,97,4,4.8,3.4,3.8
-1.9754e-01,-2,-6,95,91,4,2.4,3.4,3
-1.9747e-01,-2,2,95,97,4,4.8,3.4,3.8
-1.9739e-01,-2,-6,93,91,4,3.2,3.4,3
-1.9731e-01,-2,2,93,97,4,4.8,3.4,4.2
-1.9724e-01,-2,-6,93,89,4,3.2,3.4,3
-1.9716e-01,-2,2,91,95,4,4.8,3.4,4.2
